p,r,f,k
0.525,0.5526315789473685,0.5384615384615385,5
0.4888888888888889,0.6285714285714286,0.5499999999999999,5
0.42424242424242425,0.4375,0.43076923076923074,5
0.5434782608695652,0.6578947368421053,0.5952380952380952,5
0.5111111111111111,0.696969696969697,0.5897435897435898,5
0.41304347826086957,0.5588235294117647,0.475,5
0.39473684210526316,0.45454545454545453,0.4225352112676056,5
0.4878048780487805,0.5405405405405406,0.5128205128205128,5
0.47619047619047616,0.5555555555555556,0.5128205128205129,5
0.46808510638297873,0.5945945945945946,0.5238095238095238,5
0.5161290322580645,0.4444444444444444,0.4776119402985074,5
0.5,0.5555555555555556,0.5263157894736842,5
0.5,0.5675675675675675,0.5316455696202531,5
0.39473684210526316,0.4411764705882353,0.41666666666666663,5
0.4897959183673469,0.6666666666666666,0.5647058823529412,5
0.4473684210526316,0.4594594594594595,0.45333333333333337,5
0.4358974358974359,0.5483870967741935,0.4857142857142857,5
0.4878048780487805,0.5263157894736842,0.5063291139240507,5
0.4375,0.5833333333333334,0.5,5
0.4166666666666667,0.5,0.45454545454545453,5
0.47368421052631576,0.5806451612903226,0.5217391304347826,5
0.525,0.6,0.56,5
0.4634146341463415,0.5588235294117647,0.5066666666666667,5
0.5471698113207547,0.6744186046511628,0.6041666666666666,5
0.4166666666666667,0.4838709677419355,0.44776119402985076,5
0.47619047619047616,0.5714285714285714,0.5194805194805195,5
0.4878048780487805,0.5714285714285714,0.5263157894736842,5
0.32608695652173914,0.4838709677419355,0.38961038961038963,5
0.43243243243243246,0.47058823529411764,0.4507042253521127,5
0.3142857142857143,0.34375,0.3283582089552239,5
0.5348837209302325,0.5897435897435898,0.5609756097560975,5
0.66,0.6875,0.673469387755102,5
0.45,0.5,0.4736842105263158,5
0.42105263157894735,0.41025641025641024,0.4155844155844156,5
0.4864864864864865,0.5625,0.5217391304347827,5
0.5111111111111111,0.5897435897435898,0.5476190476190476,5
0.36585365853658536,0.4411764705882353,0.4,5
0.53125,0.4857142857142857,0.5074626865671641,5
0.4634146341463415,0.5757575757575758,0.5135135135135135,5
0.3157894736842105,0.375,0.34285714285714286,5
0.3888888888888889,0.4375,0.411764705882353,5
0.45652173913043476,0.5833333333333334,0.5121951219512195,5
0.38095238095238093,0.47058823529411764,0.42105263157894735,5
0.47368421052631576,0.5,0.4864864864864865,5
0.3541666666666667,0.5,0.4146341463414634,5
0.37209302325581395,0.5,0.42666666666666664,5
0.45,0.5142857142857142,0.48,5
0.38095238095238093,0.5517241379310345,0.4507042253521127,5
0.2972972972972973,0.4230769230769231,0.34920634920634924,5
0.3333333333333333,0.4642857142857143,0.3880597014925373,5
0.43243243243243246,0.5161290322580645,0.47058823529411764,5
0.4791666666666667,0.6216216216216216,0.5411764705882353,5
0.5238095238095238,0.6111111111111112,0.5641025641025642,5
0.55,0.6111111111111112,0.5789473684210527,5
0.3684210526315789,0.42424242424242425,0.3943661971830986,5
0.5,0.5555555555555556,0.5263157894736842,5
0.4909090909090909,0.7714285714285715,0.6,5
0.5,0.5675675675675675,0.5316455696202531,5
0.45454545454545453,0.6060606060606061,0.5194805194805195,5
0.36585365853658536,0.4838709677419355,0.4166666666666667,5
0.3870967741935484,0.4,0.39344262295081966,5
0.43478260869565216,0.5714285714285714,0.49382716049382713,5
0.4166666666666667,0.42857142857142855,0.4225352112676056,5
0.425531914893617,0.5882352941176471,0.49382716049382713,5
0.40476190476190477,0.5862068965517241,0.4788732394366197,5
0.45454545454545453,0.5263157894736842,0.4878048780487805,5
0.5,0.6756756756756757,0.5747126436781609,5
0.5641025641025641,0.5789473684210527,0.5714285714285715,5
0.4888888888888889,0.6285714285714286,0.5499999999999999,5
0.4,0.4375,0.41791044776119407,5
0.4782608695652174,0.5641025641025641,0.5176470588235293,5
0.40540540540540543,0.5,0.4477611940298507,5
0.425,0.4857142857142857,0.45333333333333337,5
0.4166666666666667,0.4166666666666667,0.4166666666666667,5
0.5490196078431373,0.7777777777777778,0.6436781609195402,5
0.4722222222222222,0.4857142857142857,0.47887323943661975,5
0.2564102564102564,0.3333333333333333,0.2898550724637681,5
0.39473684210526316,0.46875,0.4285714285714286,5
0.3783783783783784,0.45161290322580644,0.411764705882353,5
0.45652173913043476,0.5675675675675675,0.506024096385542,5
0.3953488372093023,0.4722222222222222,0.43037974683544306,5
0.4857142857142857,0.5151515151515151,0.5,5
0.5,0.5526315789473685,0.525,5
0.46808510638297873,0.5789473684210527,0.5176470588235293,5
0.4473684210526316,0.5483870967741935,0.49275362318840576,5
0.4166666666666667,0.5714285714285714,0.48192771084337344,5
0.4864864864864865,0.46153846153846156,0.47368421052631576,5
0.4090909090909091,0.5454545454545454,0.4675324675324675,5
0.41025641025641024,0.48484848484848486,0.4444444444444444,5
0.46153846153846156,0.5142857142857142,0.48648648648648646,5
0.46511627906976744,0.5882352941176471,0.5194805194805194,5
0.3548387096774194,0.39285714285714285,0.3728813559322034,5
0.45652173913043476,0.65625,0.5384615384615383,5
0.3953488372093023,0.6538461538461539,0.49275362318840576,5
0.3488372093023256,0.4838709677419355,0.4054054054054055,5
0.4909090909090909,0.75,0.5934065934065934,5
0.37142857142857144,0.4482758620689655,0.40625,5
0.5434782608695652,0.6097560975609756,0.5747126436781609,5
0.4,0.5294117647058824,0.4556962025316456,5
0.46808510638297873,0.6470588235294118,0.54320987654321,5
0.3448275862068966,0.29411764705882354,0.31746031746031744,6
0.37037037037037035,0.3333333333333333,0.3508771929824561,6
0.4722222222222222,0.53125,0.4999999999999999,6
0.4358974358974359,0.5666666666666667,0.4927536231884058,6
0.34615384615384615,0.3,0.32142857142857145,6
0.4375,0.3783783783783784,0.40579710144927533,6
0.32142857142857145,0.2903225806451613,0.3050847457627119,6
0.5588235294117647,0.4418604651162791,0.49350649350649345,6
0.38461538461538464,0.3448275862068966,0.3636363636363637,6
0.41379310344827586,0.35294117647058826,0.38095238095238093,6
0.45161290322580644,0.4,0.4242424242424243,6
0.42105263157894735,0.5,0.45714285714285713,6
0.40625,0.37142857142857144,0.3880597014925374,6
0.37037037037037035,0.3333333333333333,0.3508771929824561,6
0.5675675675675675,0.525,0.5454545454545455,6
0.45652173913043476,0.5675675675675675,0.506024096385542,6
0.47058823529411764,0.45714285714285713,0.46376811594202894,6
0.41379310344827586,0.375,0.3934426229508197,6
0.5,0.42857142857142855,0.4615384615384615,6
0.35714285714285715,0.3125,0.3333333333333333,6
0.34375,0.34375,0.34375,6
0.43902439024390244,0.5625,0.4931506849315069,6
0.5333333333333333,0.43243243243243246,0.47761194029850745,6
0.4827586206896552,0.4,0.43750000000000006,6
0.3448275862068966,0.30303030303030304,0.32258064516129037,6
0.40540540540540543,0.4166666666666667,0.4109589041095891,6
0.5555555555555556,0.46511627906976744,0.5063291139240507,6
0.3103448275862069,0.25,0.27692307692307694,6
0.38461538461538464,0.42857142857142855,0.4054054054054054,6
0.4117647058823529,0.4666666666666667,0.43749999999999994,6
0.391304347826087,0.2647058823529412,0.3157894736842105,6
0.3103448275862069,0.2903225806451613,0.30000000000000004,6
0.32142857142857145,0.2727272727272727,0.2950819672131148,6
0.36666666666666664,0.3235294117647059,0.34375,6
0.3225806451612903,0.30303030303030304,0.3125,6
0.46153846153846156,0.3076923076923077,0.3692307692307692,6
0.43333333333333335,0.43333333333333335,0.43333333333333335,6
0.2962962962962963,0.24242424242424243,0.26666666666666666,6
0.43478260869565216,0.30303030303030304,0.35714285714285715,6
0.38235294117647056,0.37142857142857144,0.37681159420289856,6
0.42424242424242425,0.4,0.411764705882353,6
0.5,0.32142857142857145,0.391304347826087,6
0.5,0.53125,0.5151515151515151,6
0.36363636363636365,0.42857142857142855,0.3934426229508197,6
0.30434782608695654,0.2413793103448276,0.2692307692307692,6
0.5142857142857142,0.45,0.48,6
0.4857142857142857,0.5151515151515151,0.5,6
0.4090909090909091,0.2903225806451613,0.339622641509434,6
0.32,0.24242424242424243,0.2758620689655172,6
0.46153846153846156,0.4864864864864865,0.47368421052631576,6
0.40540540540540543,0.4411764705882353,0.4225352112676056,6
0.47058823529411764,0.4444444444444444,0.45714285714285713,6
0.34375,0.36666666666666664,0.3548387096774193,6
0.24,0.23076923076923078,0.23529411764705882,6
0.42424242424242425,0.3783783783783784,0.4000000000000001,6
0.42424242424242425,0.4375,0.43076923076923074,6
0.42857142857142855,0.39473684210526316,0.4109589041095891,6
0.3939393939393939,0.3611111111111111,0.37681159420289856,6
0.2857142857142857,0.26666666666666666,0.2758620689655172,6
0.46875,0.42857142857142855,0.4477611940298507,6
0.5,0.46153846153846156,0.48000000000000004,6
0.375,0.4,0.38709677419354843,6
0.48717948717948717,0.5428571428571428,0.5135135135135135,6
0.2903225806451613,0.32142857142857145,0.3050847457627119,6
0.4827586206896552,0.42424242424242425,0.45161290322580644,6
